EA 0308,MWF 1000-1050,MWF 1100-1150,TR 1100-1215,TR 1320-1450,MWF 1000-1050,MWF 1100-1150,W 1700-1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EA 0314,MWF 1000-1050,MWF 1100-1150,MTWR 1200-1250,MWF 1300-1350,MWF 1410-1500,TR 0935-1050,MTWR 1200-1250,TR 1320-1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EA 0318,MW 0800-0950,MW 1000-1150,MW 1310-1500,TR 1445-1600,TR 1610-1800,MW 0800-0950,MW 1000-1150,MW 1310-1500,W 1630-1920,F 0900-0950,F 1000-1050,F 1100-1150,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED 0006,MWF 1000-1050,MWF 1320-1435,TR 0800-0915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED 0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED 0047,M 0900-1150,R 0935-1215,F 0900-1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EERB 0118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EERB 0233,TR 1100-1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EERB 0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EERB 0251,MWF 0800-0850,MWF 1000-1050,MWF 1100-1150,MWF 1200-1250,MWF 1310-1400,TR 0935-1050,TR 1320-1435,T 1610-1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EERB 0255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EERB 0350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EIC 0201,MWF 0800-0850,MW 1325-1440,MWF 1510-1600,M 1630-1900,TR 0900-1020,TR 1100-1215,TR 1320-1435,TR 1445-1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
